"No.","Time","Source","Destination","Protocol","Length","Info"
"4396","120.488183","54.159.176.36","10.2.13.112","TCP","1514","443  >  56344 [ACK] Seq=306932 Ack=339677 Win=449024 Len=1448 TSval=3156989026 TSecr=2807008918 [TCP segment of a reassembled PDU]"
"4397","120.488184","54.159.176.36","10.2.13.112","TLSv1.2","176","Application Data"
"4398","120.488184","54.159.176.36","10.2.13.112","TCP","66","443  >  56312 [ACK] Seq=346527 Ack=358535 Win=314112 Len=0 TSval=3156989027 TSecr=3554012926"
"4399","120.488218","10.2.13.112","54.159.176.36","TCP","66","56344  >  443 [ACK] Seq=339677 Ack=308490 Win=161344 Len=0 TSval=2807008950 TSecr=3156989026"
"4400","120.488229","10.2.13.112","54.159.176.36","TLSv1.2","357","Application Data"
"4401","120.489014","10.2.13.112","54.159.176.36","TCP","1514","56344  >  443 [ACK] Seq=339677 Ack=308490 Win=162880 Len=1448 TSval=2807008950 TSecr=3156989026 [TCP segment of a reassembled PDU]"
"4402","120.489015","10.2.13.112","54.159.176.36","TCP","1514","56344  >  443 [ACK] Seq=341125 Ack=308490 Win=162880 Len=1448 TSval=2807008950 TSecr=3156989026 [TCP segment of a reassembled PDU]"
"4403","120.489016","10.2.13.112","54.159.176.36","TCP","1514","56344  >  443 [ACK] Seq=342573 Ack=308490 Win=162880 Len=1448 TSval=2807008950 TSecr=3156989026 [TCP segment of a reassembled PDU]"
"4404","120.489029","10.2.13.112","54.159.176.36","TLSv1.2","357","Application Data"
"4405","120.489394","54.159.176.36","10.2.13.112","TCP","1514","443  >  56311 [ACK] Seq=143211 Ack=230591 Win=502272 Len=1448 TSval=3156989029 TSecr=2606320132 [TCP segment of a reassembled PDU]"
"4406","120.489395","54.159.176.36","10.2.13.112","TLSv1.2","173","Application Data"
"4407","120.489427","10.2.13.112","54.159.176.36","TCP","66","56311  >  443 [ACK] Seq=230591 Ack=144766 Win=129472 Len=0 TSval=2606320165 TSecr=3156989029"
