"No.","Time","Source","Destination","Protocol","Length","Info"
"871","16.000860","100.65.191.105","172.64.150.28","QUIC","87","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"872","16.005209","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"873","16.005210","172.64.150.28","100.65.191.105","QUIC","873","Protected Payload (KP0)"
"874","16.005211","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"875","16.005212","172.64.150.28","100.65.191.105","QUIC","873","Protected Payload (KP0)"
"876","16.010802","100.65.191.105","172.64.150.28","QUIC","87","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"877","16.042262","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"878","16.042264","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"879","16.042265","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"880","16.042267","172.64.150.28","100.65.191.105","QUIC","568","Protected Payload (KP0)"
"881","16.047153","100.65.191.105","172.64.150.28","QUIC","87","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"882","16.077830","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"883","16.077832","172.64.150.28","100.65.191.105","QUIC","905","Protected Payload (KP0)"
"884","16.083445","100.65.191.105","172.64.150.28","QUIC","87","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"885","16.084631","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"886","16.084632","172.64.150.28","100.65.191.105","QUIC","905","Protected Payload (KP0)"
"887","16.085762","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"888","16.085763","172.64.150.28","100.65.191.105","QUIC","937","Protected Payload (KP0)"
"889","16.087927","100.65.191.105","172.64.150.28","QUIC","88","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"890","16.101061","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"891","16.101064","172.64.150.28","100.65.191.105","QUIC","937","Protected Payload (KP0)"
"892","16.105616","172.64.150.28","100.65.191.105","QUIC","67","Protected Payload (KP0)"
"893","16.105848","100.65.191.105","172.64.150.28","QUIC","86","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"894","16.137840","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"895","16.137843","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"896","16.137845","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
"897","16.137847","172.64.150.28","100.65.191.105","QUIC","629","Protected Payload (KP0)"
"898","16.145010","100.65.191.105","172.64.150.28","QUIC","87","Protected Payload (KP0), DCID=01c94d3f54414a70bbc8c93f51414dd1000e81da"
"899","16.148290","172.64.150.28","100.65.191.105","QUIC","1242","Protected Payload (KP0)"
