,param_activation,param_solver,param_alpha,param_hidden_layer_sizes,mean_test_score,std_test_score,rank_test_score
178,identity,lbfgs,1.00E-05,17,0.441428186,0.000833041,986
190,identity,lbfgs,1.00E-06,12,0.441428186,0.000833041,986
193,identity,lbfgs,1.00E-06,13,0.441428186,0.000875282,986
202,identity,lbfgs,1.00E-06,16,0.441428186,0.000817741,986
205,identity,lbfgs,1.00E-06,17,0.441428186,0.000833041,986
217,identity,lbfgs,1.00E-07,12,0.441428186,0.000833041,986
220,identity,lbfgs,1.00E-07,13,0.441428186,0.000875282,986
229,identity,lbfgs,1.00E-07,16,0.441428186,0.000817741,986
232,identity,lbfgs,1.00E-07,17,0.441428186,0.000833041,986
244,identity,lbfgs,1.00E-08,12,0.441428186,0.000833041,986
247,identity,lbfgs,1.00E-08,13,0.441428186,0.000875282,986
256,identity,lbfgs,1.00E-08,16,0.441428186,0.000817741,986
259,identity,lbfgs,1.00E-08,17,0.441428186,0.000833041,986
271,identity,lbfgs,1.00E-09,12,0.441428186,0.000833041,986
274,identity,lbfgs,1.00E-09,13,0.441428186,0.000875282,986
283,identity,lbfgs,1.00E-09,16,0.441428186,0.000817741,986
286,identity,lbfgs,1.00E-09,17,0.441428186,0.000833041,986
31,identity,lbfgs,1,13,0.441403664,0.000851603,1027
64,identity,lbfgs,0.1,15,0.441403664,0.000808125,1027
91,identity,lbfgs,0.01,15,0.441403664,0.000808125,1027
104,identity,sgd,0.01,19,0.441403664,0.000851603,1027
118,identity,lbfgs,0.001,15,0.441403664,0.000808125,1027
131,identity,sgd,0.001,19,0.441403664,0.000851603,1027
145,identity,lbfgs,0.0001,15,0.441403664,0.000808125,1027
158,identity,sgd,0.0001,19,0.441403664,0.000851603,1027
172,identity,lbfgs,1.00E-05,15,0.441403664,0.000808125,1027
185,identity,sgd,1.00E-05,19,0.441403664,0.000851603,1027
199,identity,lbfgs,1.00E-06,15,0.441403664,0.000808125,1027
212,identity,sgd,1.00E-06,19,0.441403664,0.000851603,1027
226,identity,lbfgs,1.00E-07,15,0.441403664,0.000808125,1027
239,identity,sgd,1.00E-07,19,0.441403664,0.000851603,1027
253,identity,lbfgs,1.00E-08,15,0.441403664,0.000808125,1027
266,identity,sgd,1.00E-08,19,0.441403664,0.000851603,1027
280,identity,lbfgs,1.00E-09,15,0.441403664,0.000808125,1027
293,identity,sgd,1.00E-09,19,0.441403664,0.000851603,1027
10,identity,lbfgs,10,15,0.441379141,0.000772359,1045
37,identity,lbfgs,1,15,0.441379141,0.000783951,1045
46,identity,lbfgs,1,18,0.441379141,0.000772359,1045
73,identity,lbfgs,0.1,18,0.441379141,0.000772359,1045
100,identity,lbfgs,0.01,18,0.441379141,0.000772359,1045
127,identity,lbfgs,0.001,18,0.441379141,0.000772359,1045
154,identity,lbfgs,0.0001,18,0.441379141,0.000772359,1045
181,identity,lbfgs,1.00E-05,18,0.441379141,0.000772359,1045
208,identity,lbfgs,1.00E-06,18,0.441379141,0.000772359,1045
235,identity,lbfgs,1.00E-07,18,0.441379141,0.000772359,1045
262,identity,lbfgs,1.00E-08,18,0.441379141,0.000772359,1045
289,identity,lbfgs,1.00E-09,18,0.441379141,0.000772359,1045
34,identity,lbfgs,1,14,0.441354619,0.000751043,1057
61,identity,lbfgs,0.1,14,0.441354619,0.000751043,1057
88,identity,lbfgs,0.01,14,0.441354619,0.000751043,1057
115,identity,lbfgs,0.001,14,0.441354619,0.000751043,1057
142,identity,lbfgs,0.0001,14,0.441354619,0.000751043,1057
169,identity,lbfgs,1.00E-05,14,0.441354619,0.000751043,1057
196,identity,lbfgs,1.00E-06,14,0.441354619,0.000751043,1057
223,identity,lbfgs,1.00E-07,14,0.441354619,0.000751043,1057
250,identity,lbfgs,1.00E-08,14,0.441354619,0.000751043,1057
277,identity,lbfgs,1.00E-09,14,0.441354619,0.000751043,1057
76,identity,lbfgs,0.1,19,0.441330096,0.000738121,1067
79,identity,lbfgs,0.1,20,0.441330096,0.000785484,1067
103,identity,lbfgs,0.01,19,0.441330096,0.000738121,1067
106,identity,lbfgs,0.01,20,0.441330096,0.000785484,1067
130,identity,lbfgs,0.001,19,0.441330096,0.000738121,1067
133,identity,lbfgs,0.001,20,0.441330096,0.000785484,1067
157,identity,lbfgs,0.0001,19,0.441330096,0.000738121,1067
160,identity,lbfgs,0.0001,20,0.441330096,0.000785484,1067
184,identity,lbfgs,1.00E-05,19,0.441330096,0.000738121,1067
187,identity,lbfgs,1.00E-05,20,0.441330096,0.000785484,1067
211,identity,lbfgs,1.00E-06,19,0.441330096,0.000738121,1067
214,identity,lbfgs,1.00E-06,20,0.441330096,0.000785484,1067
238,identity,lbfgs,1.00E-07,19,0.441330096,0.000738121,1067
241,identity,lbfgs,1.00E-07,20,0.441330096,0.000785484,1067
265,identity,lbfgs,1.00E-08,19,0.441330096,0.000738121,1067
268,identity,lbfgs,1.00E-08,20,0.441330096,0.000785484,1067
292,identity,lbfgs,1.00E-09,19,0.441330096,0.000738121,1067
295,identity,lbfgs,1.00E-09,20,0.441330096,0.000785484,1067
13,identity,lbfgs,10,16,0.441305574,0.000711573,1085
77,identity,sgd,0.1,19,0.441281052,0.000891619,1086
4,identity,lbfgs,10,13,0.441256529,0.000676926,1087
19,identity,lbfgs,10,18,0.441256529,0.000676926,1087
7,identity,lbfgs,10,14,0.441232007,0.000711573,1089
16,identity,lbfgs,10,17,0.441232007,0.000658919,1089
1,identity,lbfgs,10,12,0.441207484,0.000693599,1091
22,identity,lbfgs,10,19,0.441207484,0.000693599,1091
25,identity,lbfgs,10,20,0.441133917,0.000616484,1093
123,identity,adam,0.001,17,0.441084872,0.001799351,1094
150,identity,adam,0.0001,17,0.441084872,0.001799351,1094
177,identity,adam,1.00E-05,17,0.441084872,0.001799351,1094
204,identity,adam,1.00E-06,17,0.44106035,0.001765955,1097
231,identity,adam,1.00E-07,17,0.44106035,0.001765955,1097
258,identity,adam,1.00E-08,17,0.44106035,0.001765955,1097
285,identity,adam,1.00E-09,17,0.44106035,0.001765955,1097
80,identity,sgd,0.1,20,0.44096226,0.001169388,1101
107,identity,sgd,0.01,20,0.44096226,0.001183191,1101
134,identity,sgd,0.001,20,0.44096226,0.001183191,1101
161,identity,sgd,0.0001,20,0.44096226,0.001183191,1101
188,identity,sgd,1.00E-05,20,0.44096226,0.001183191,1101
215,identity,sgd,1.00E-06,20,0.44096226,0.001183191,1101
242,identity,sgd,1.00E-07,20,0.44096226,0.001183191,1101
269,identity,sgd,1.00E-08,20,0.44096226,0.001183191,1101
296,identity,sgd,1.00E-09,20,0.44096226,0.001183191,1101
54,identity,adam,0.1,12,0.440839648,0.003021537,1110
81,identity,adam,0.01,12,0.440717036,0.003016159,1111
108,identity,adam,0.001,12,0.440717036,0.003016159,1111
135,identity,adam,0.0001,12,0.440717036,0.003016159,1111
162,identity,adam,1.00E-05,12,0.440717036,0.003016159,1111
189,identity,adam,1.00E-06,12,0.440717036,0.003016159,1111
216,identity,adam,1.00E-07,12,0.440717036,0.003016159,1111
243,identity,adam,1.00E-08,12,0.440717036,0.003016159,1111
270,identity,adam,1.00E-09,12,0.440717036,0.003016159,1111
306,logistic,adam,10,15,0.440520856,0.044087489,1119
44,identity,sgd,1,17,0.440373722,0.00020808,1120
47,identity,sgd,1,18,0.440349199,0.000250081,1121
66,identity,adam,0.1,16,0.44015302,0.004860268,1122
90,identity,adam,0.01,15,0.44015302,0.003167667,1122
